NearestPond,Type
222.11730238354625,2
232.1526305376391,2
254.84876970720072,2
287.21947199445935,2
326.3983374351667,2
370.2295953850499,2
417.24889127431646,2
466.49241149596,2
515.988559228565,2
531.999671458586,0
521.6270129471039,2
516.52430794152,2
517.5278068130599,2
524.6024474244485,2
537.5084064692234,2
542.0057673795741,0
522.5421424547231,0
508.6005571844447,0
492.69791586626565,2
463.668063861393,2
440.0201314930812,2
415.34358551350107,2
382.3207859766727,2
355.3415414279789,2
335.86603942308875,2
325.24548133497376,2
324.35110459239166,2
326.70140147100386,2
323.8092160882313,2
330.77390962724604,2
347.0023375758593,2
371.2814372824473,2
402.1552709799141,2
438.23166008866275,2
478.33423902291554,2
521.5343283319207,2
567.1237171774225,2
614.5700620063417,2
663.4742064132455,2
713.5355445990042,2
764.5258366037784,2
790.2737024045603,1
765.4818670007664,1
744.0583789969713,1
726.3018902649582,1
712.4870510598112,1
702.8466592904098,1
697.5540431749931,1
696.7084201306272,1
700.3259190282074,1
708.3380792795026,1
720.5981415956836,1
736.893832990376,1
756.9641950848542,1
780.5176416208376,1
807.2488185497465,1
836.8526685378927,1
869.0350051628849,1
903.5196240799927,1
940.0524215470418,1
978.4031775529855,1
1018.3656686854317,1
1059.7566863394447,1
1102.4144105168068,1
1146.196465418978,1
1190.9778778634427,1
1236.6490783672996,1
1283.1140261367934,1
1330.2884991418139,1
1378.0985644278232,1
1426.4792278200193,1
1458.6166901412298,2
1489.8194356337824,2
904.2876305224643,0
912.0433624603262,0
923.5267259379546,0
938.6007539659059,0
957.0955972654285,0
978.8171110409116,0
1003.5555002168228,0
1031.0933037849172,0
982.7957383500377,0
928.4358602638492,0
874.3697961022638,0
820.6568813211032,0
767.3725364698327,0
714.6138915693261,0
662.5078012896814,0
611.2224204733589,0
560.9841152274855,0
512.1023553946739,0
465.00633325491776,0
420.2979321476278,0
378.82455436010315,0
341.7669712562911,0
310.7101120649433,0
282.9230531892615,0
252.05164078477682,2
220.53710167599385,2
200.55919229410227,2
195.68426586908058,2
206.9823177055395,2
232.10329557323604,2
267.1757565092336,2
308.82706264153575,2
354.74674799330955,2
403.47931691580146,2
454.11926332309076,2
490.49710814538446,2
505.62145575900075,0
495.4334381129962,2
490.06955927572744,2
491.12486923382534,2
498.55858336305624,2
512.0928420728877,2
517.6556853257515,0
497.2840453589072,0
482.64496855649736,0
470.7514504017596,2
440.3432260446325,2
415.42356813863995,2
394.8936292519896,2
360.07606803831925,2
331.35280668404573,2
310.42088111511265,2
298.92203474402567,2
297.95068307432507,2
300.49554063990934,2
297.3551639066459,2
304.90910671847377,2
322.40639403942043,2
348.3515739709795,2
381.0223120083617,2
418.847139369686,2
460.5572145264407,2
505.1903477900259,2
552.0371620077599,2
600.5789839549275,2
650.4355149714513,2
701.3254796930412,2
753.0384164697672,2
766.8476477209574,1
741.3290924817903,1
719.2351803918474,1
700.8903950568334,1
686.5957659842176,1
676.6083917483821,1
671.1208378279158,1
670.243769855965,1
673.9952076316256,1
682.2987218694,1
694.9909794032629,1
711.8369697307139,1
732.5498023324583,1
756.8115846912698,1
784.2924823392758,1
814.6661739089285,1
847.6210533181583,1
882.8673844979012,1
920.1410908482001,1
959.2050211052562,1
999.8484897401481,1
1041.8857491737544,1
1085.1538855461524,1
1129.5104787905227,1
1174.8312468272416,1
1221.0078046772148,1
1267.9456078259752,1
1315.5621090212019,1
1363.7851329085331,1
1406.0313527452467,2
1436.2525576641387,2
1467.8592104006093,2
930.6259316721034,0
938.1501386933138,0
949.2973278947907,0
963.9416606824115,0
981.9264770787239,0
1003.0718610262885,0
1027.1823493859847,0
1029.756997484106,0
974.8413124338965,0
920.1302060735824,0
865.6637531884329,0
811.4925022939289,0
757.6810569261859,0
704.3131742195394,0
651.4991466151127,0
599.3866733639625,0
548.177139169477,0
498.15034408208254,0
449.70242047115516,0
403.4038400007155,0
360.08579370624796,0
320.9584586710403,0
287.73752712877223,0
262.024997854313,0
229.68340938282248,0
197.41571473894118,2
174.86514420408392,2
169.26362286512722,2
182.1814219698895,2
210.2318100347249,2
248.3384304023968,2
